"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-01",101.6683,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-02",101.2176,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-03",100.8062,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-04",100.5234,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-05",100.3196,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-06",100.1284,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-07",99.90852,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-08",99.67458,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-09",99.45908,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-10",99.28854,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-11",99.14137,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2008-12",98.98949,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-01",98.81668,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-02",98.64161,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-03",98.4973,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-04",98.41293,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-05",98.3649,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-06",98.3289,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-07",98.29579,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-08",98.27538,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-09",98.29729,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-10",98.39916,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-11",98.57256,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-12",98.82214,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-01",99.15335,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-02",99.48389,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-03",99.69912,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-04",99.70812,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-05",99.61499,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-06",99.54881,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-07",99.5957,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-08",99.70386,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-09",99.79784,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-10",99.83146,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-11",99.85478,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-12",99.94843,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-01",100.1679,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-02",100.418,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-03",100.5549,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-04",100.459,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-05",100.2196,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-06",99.94112,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-07",99.69261,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-08",99.49608,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-09",99.38181,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-10",99.3916,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-11",99.49972,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-12",99.69977,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-01",99.99323,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-02",100.286,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-03",100.4495,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-04",100.3818,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-05",100.1992,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-06",100.0454,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-07",100.0171,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-08",100.0595,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-09",100.0917,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-10",100.0606,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-11",100.0056,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-12",99.99308,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-01",100.0745,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-02",100.2025,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-03",100.3103,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-04",100.3452,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-05",100.3214,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-06",100.2533,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-07",100.1469,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-08",100.0353,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-09",99.95695,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-10",99.93793,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-11",99.94149,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-12",99.91936,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-01",99.84039,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-02",99.74486,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-03",99.69461,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-04",99.73972,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-05",99.83989,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-06",99.94817,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-07",100.0397,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-08",100.1322,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-09",100.2591,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-10",100.4411,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-11",100.6238,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2014-12",100.7217,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-01",100.6603,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5042,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-03",100.3248,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-04",100.1635,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-05",100.0179,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-06",99.87348,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-07",99.72131,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-08",99.57292,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-09",99.45169,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-10",99.38009,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-11",99.33982,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2015-12",99.31123,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-01",99.28138,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-02",99.24034,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-03",99.17892,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-04",99.09741,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-05",99.03487,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-06",99.05391,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-07",99.20663,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-08",99.41895,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2016-09",99.59556,
