"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.4074,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.6466,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.7844,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.7887,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.7603,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.6968,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.5647,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.2677,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.2606,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.2338,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.245,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.3557,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.4899,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6995,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.8273,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.9339,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",101.0103,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",101.0449,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",101.0628,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.0334,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.9971,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.9932,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.9085,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.7562,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5287,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.4224,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.4729,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.5599,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.6458,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.6312,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.7021,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.9399,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.2075,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.3448,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.3925,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.4544,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.5204,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.5775,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.558,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.4567,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.4794,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.567,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.6038,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.604,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.6467,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.6154,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.5882,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.5521,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.4874,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.4908,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.4642,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.4003,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.4071,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.2938,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.1445,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9317,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.6606,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.3215,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.0164,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.87923,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.84615,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.89383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.95695,
