"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-01",100.3508,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.3358,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.2923,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.2299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.1625,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.1155,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.0974,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.1001,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.1247,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.1818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.2876,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-12",100.4272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-01",100.5674,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-02",100.724,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-03",100.8767,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-04",101.0194,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-05",101.1427,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.2538,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.3758,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.539,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.7716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-10",102.037,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-11",102.3059,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-12",102.5653,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-01",102.8003,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-02",103.0147,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-03",103.1896,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-04",103.308,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-05",103.3485,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-06",103.291,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-07",103.1442,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-08",102.949,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-09",102.7396,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-10",102.5005,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-11",102.2064,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-12",101.8632,
